color_space,hog_orient,hog_pix_per_cell,spatial_size,color_hist_bins,reduc_factor,C,gamma,kernel,accuracy,time to predict 100,training time,features vector length,performance
YCrCb,9,32,16,16,8,1,0.005,rbf,0.98733,0.038406,8.71059,115.0,13.76314
YCrCb,9,32,16,16,8,1,0.001,linear,0.98255,0.010784,12.09402,115.0,38.45503
YCrCb,9,32,16,16,8,1,0.001,rbf,0.97804,0.045459,11.03239,115.0,7.24788
YCrCb,9,32,16,16,8,5,0.005,linear,0.98142,0.00939,32.36557,115.0,41.69458
YCrCb,9,32,16,16,8,5,0.005,rbf,0.99212,0.025946,6.77285,115.0,25.95015
YCrCb,9,32,16,16,8,5,0.001,linear,0.98114,0.009249,30.05178,115.0,41.73057
YCrCb,9,32,16,16,8,5,0.001,rbf,0.98255,0.025594,6.46781,115.0,16.20298
YCrCb,9,32,16,16,8,10,0.005,linear,0.98114,0.009207,60.23107,115.0,41.92093
YCrCb,9,32,16,16,8,10,0.005,rbf,0.99184,0.023792,6.31329,115.0,27.90294
YCrCb,9,32,16,16,8,10,0.001,linear,0.98255,0.01084,57.34671,115.0,38.25637
YCrCb,9,32,16,16,8,10,0.001,rbf,0.9848,0.020695,5.16615,115.0,22.46656
YCrCb,9,32,16,16,12,1,0.005,linear,0.97691,0.007067,6.72185,77.0,44.00405
YCrCb,9,32,16,16,12,1,0.005,rbf,0.98339,0.021638,5.26866,77.0,20.00195
YCrCb,9,32,16,16,12,1,0.001,linear,0.97438,0.00711,7.25941,77.0,38.41921
YCrCb,9,32,16,16,12,1,0.001,rbf,0.9741,0.033,7.52595,77.0,8.15949
YCrCb,9,32,16,16,12,5,0.005,linear,0.97551,0.006856,19.30293,77.0,42.21973
YCrCb,9,32,16,16,12,5,0.005,rbf,0.9893,0.01329,3.1929,77.0,43.94156
YCrCb,9,32,16,16,12,5,0.001,linear,0.97579,0.006842,19.8605,77.0,42.91757
YCrCb,9,32,16,16,12,5,0.001,rbf,0.97917,0.018964,4.40055,77.0,18.40666
YCrCb,9,32,16,16,12,10,0.005,linear,0.97635,0.006842,35.55797,77.0,44.16655
YCrCb,9,32,16,16,12,10,0.005,rbf,0.99043,0.011375,2.90137,77.0,54.3548
YCrCb,9,32,16,16,12,10,0.001,linear,0.9772,0.006898,33.05216,77.0,45.75618
YCrCb,9,32,16,16,12,10,0.001,rbf,0.98255,0.015317,3.76847,77.0,27.07443
